name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь-универсал,,90000,RUR,Раменское,2022-12-19T20:18:54+0300
Стажер отдела стратегий (консультант),,,,Москва,2022-12-19T20:18:11+0300
Сервис-инженер 1С,30000,,RUR,Пенза,2022-12-19T20:17:02+0300
Инженер слаботочных систем,40000,50000,RUR,Воронеж,2022-12-19T20:17:01+0300
Инженер технической поддержки,,70000,RUR,Санкт-Петербург,2022-12-19T20:17:01+0300
Фрезеровщик,85000,120000,RUR,Челябинск,2022-12-19T20:17:01+0300
Художник/скульптор,,100000,RUR,Ногинск,2022-12-19T20:16:59+0300
Токарь-карусельщик,85000,130000,RUR,Челябинск,2022-12-19T20:16:55+0300
Системный аналитик,,170000,RUR,Москва,2022-12-19T20:16:35+0300
Сверловщик по стеклу на автоматическом станке,50000,,RUR,Ростов-на-Дону,2022-12-19T20:15:33+0300
Backend-разработчик (Laravel),130000,180000,RUR,Москва,2022-12-19T20:15:12+0300
Full-stack разработчик,,,,Астана,2022-12-19T20:14:23+0300
Network engineer,,,,Москва,2022-12-19T20:14:10+0300
BI аналитик,,,,Астана,2022-12-19T20:14:02+0300
Сетевой инженер,,,,Санкт-Петербург,2022-12-19T20:14:01+0300
Фрезеровщик/Оператор станков с ЧПУ,45000,,RUR,Жуковский,2022-12-19T20:13:57+0300
Специалист поддержки 1С,,,,Москва,2022-12-19T20:13:54+0300
Ведущий менеджер по продажам на объекты строительства,100000,,RUR,Липецк,2022-12-19T20:13:28+0300
Cloud Infrastructure Security Analyst,,,,Тбилиси,2022-12-19T20:12:59+0300
Unity Middle Developer C#,80000,,RUR,Бишкек,2022-12-19T20:12:37+0300
Системный аналитик в направление автоматизации контактных центров,,,,Санкт-Петербург,2022-12-19T20:12:29+0300
Cloud Infrastructure Security Analyst,,,,Алматы,2022-12-19T20:12:26+0300
Руководитель проектов (клининг),,,,Москва,2022-12-19T20:11:43+0300
Системный аналитик в направление автоматизации контактных центров,,,,Москва,2022-12-19T20:09:58+0300
Инженер инсталлятор,50000,,RUR,Севастополь,2022-12-19T20:09:48+0300
DevOps инженер,,,,Москва,2022-12-19T20:09:47+0300
Lead DevOps,,,,Москва,2022-12-19T20:09:47+0300
Инженер-монтажник по подключению интернета,65000,200000,RUR,Москва,2022-12-19T20:09:44+0300
Столяр,80000,100000,RUR,Санкт-Петербург,2022-12-19T20:09:25+0300
Копирайтер (HR направление),,,,Москва,2022-12-19T20:09:17+0300
JAVA back-end разработчик  (desktop),200000,350000,RUR,Сербия,2022-12-19T20:09:10+0300
Ведущий консультант-аналитик 1С,180000,200000,RUR,Челябинск,2022-12-19T20:08:48+0300
"Управляющий Велнес-центром (салон красоты, СПА, фитнес) при отеле",,,,Санкт-Петербург,2022-12-19T20:08:39+0300
Frontend-разработчик (angular) в SaaS-сервис,500000,700000,KZT,Алматы,2022-12-19T20:08:38+0300
Старший аккаунт - менеджер,,,,Москва,2022-12-19T20:07:50+0300
Системный архитектор,,,,Санкт-Петербург,2022-12-19T20:07:09+0300
Java developer_Junior+,,,,Санкт-Петербург,2022-12-19T20:07:09+0300
"Бизнес-аналитик (по логистике морских портов, Ро-Ро)",,,,Санкт-Петербург,2022-12-19T20:07:09+0300
Руководитель проектов TOS (Project Manager с разговорным английским),,,,Санкт-Петербург,2022-12-19T20:07:09+0300
Java Team Lead,,,,Санкт-Петербург,2022-12-19T20:07:09+0300
Руководитель IT проектов,,,,Санкт-Петербург,2022-12-19T20:07:09+0300
"Frontend разработчик (Angular, удаленно)",1000,1500,USD,Астана,2022-12-19T20:06:59+0300
"DevOps Engineer (проекты CDN, DNS и Streaming)",,,,Москва,2022-12-19T20:06:12+0300
Инженер внедрения,,,,Москва,2022-12-19T20:05:59+0300
"Python-разработчик (Django, DRF) программного кода",,,,Москва,2022-12-19T20:05:31+0300
Токарь,43648,,RUR,Чебоксары,2022-12-19T20:05:00+0300
Leading .NET Developer,,,,Санкт-Петербург,2022-12-19T20:04:38+0300
Технический аналитик,,,,Москва,2022-12-19T20:03:32+0300
Руководитель команды VDI (VK Cloud),,,,Москва,2022-12-19T20:00:21+0300
